,len_original,ip_id,total_length,fragment_offset,tcp_seq_no,tcp_ack_no,tcp_data_off,tcp_window
463,54.0,9616.0,20.0,64.0,972866940.0,1168592500.0,5.0,1026.0
464,214.0,9617.0,180.0,64.0,972866940.0,1168592500.0,5.0,1026.0
465,60.0,37564.0,20.0,64.0,1168592500.0,972867140.0,5.0,1728.0
466,54.0,9621.0,20.0,64.0,972867140.0,1168592500.0,5.0,0.0
467,60.0,37565.0,20.0,64.0,1168592500.0,972867140.0,5.0,1728.0
468,62.0,0.0,28.0,64.0,1162490200.0,410143400.0,7.0,5840.0
469,62.0,0.0,28.0,64.0,1162490200.0,410143400.0,7.0,5840.0
470,54.0,43137.0,20.0,64.0,410143400.0,1162490200.0,5.0,64240.0
471,122.0,43138.0,88.0,64.0,410143400.0,1162490200.0,5.0,64240.0
472,60.0,60862.0,20.0,64.0,1162490200.0,410143460.0,5.0,5840.0
473,54.0,43140.0,20.0,64.0,410143460.0,1162490200.0,5.0,0.0
474,60.0,60863.0,20.0,64.0,1162490200.0,410143460.0,5.0,5840.0
475,54.0,0.0,20.0,64.0,0.0,1169446800.0,5.0,0.0
476,54.0,0.0,20.0,64.0,0.0,1169446800.0,5.0,0.0
477,66.0,0.0,32.0,64.0,1180364400.0,3812490000.0,8.0,5840.0
478,66.0,0.0,32.0,64.0,1180364400.0,3812490000.0,8.0,5840.0
479,54.0,14577.0,20.0,64.0,3812490000.0,1180364400.0,5.0,513.0
480,611.0,14578.0,577.0,64.0,3812490000.0,1180364400.0,5.0,513.0
481,60.0,13114.0,20.0,64.0,1180364400.0,3812490500.0,5.0,1739.0
482,60.0,13115.0,20.0,64.0,1180364400.0,3812490500.0,5.0,1739.0
483,66.0,0.0,32.0,64.0,1180287200.0,1086431900.0,8.0,5840.0
484,66.0,0.0,32.0,64.0,1180287200.0,1086431900.0,8.0,5840.0
485,54.0,50762.0,20.0,64.0,1086431900.0,1180287200.0,5.0,1026.0
486,122.0,50763.0,88.0,64.0,1086431900.0,1180287200.0,5.0,1026.0
487,60.0,7249.0,20.0,64.0,1180287200.0,1086431900.0,5.0,1460.0
488,60.0,7250.0,20.0,64.0,1180287200.0,1086431900.0,5.0,1460.0
489,66.0,0.0,32.0,64.0,1176274300.0,1795227800.0,8.0,5840.0
490,66.0,0.0,32.0,64.0,1176274300.0,1795227800.0,8.0,5840.0
491,54.0,38788.0,20.0,64.0,1795227800.0,1176274300.0,5.0,513.0
492,362.0,38789.0,328.0,64.0,1795227800.0,1176274300.0,5.0,513.0
493,60.0,22774.0,20.0,64.0,1176274300.0,1795228200.0,5.0,1728.0
494,60.0,22775.0,20.0,64.0,1176274300.0,1795228200.0,5.0,1728.0
495,74.0,0.0,40.0,64.0,1177180400.0,630132100.0,10.0,5792.0
496,74.0,0.0,40.0,64.0,1177180400.0,630132100.0,10.0,5792.0
497,66.0,5690.0,32.0,64.0,630132100.0,1177180400.0,8.0,7300.0
498,416.0,5691.0,382.0,64.0,630132100.0,1177180400.0,8.0,7300.0
499,66.0,34224.0,32.0,64.0,1177180400.0,630132400.0,8.0,1716.0
500,66.0,34225.0,32.0,64.0,1177180400.0,630132400.0,8.0,1716.0
501,74.0,0.0,40.0,64.0,1606975700.0,1180168100.0,10.0,65160.0
502,74.0,0.0,40.0,64.0,1606975700.0,1180168100.0,10.0,65160.0
503,66.0,12823.0,32.0,64.0,1180168100.0,1606975700.0,8.0,1460.0
504,583.0,12824.0,549.0,64.0,1180168100.0,1606975700.0,8.0,1460.0
505,66.0,11414.0,32.0,64.0,1606975700.0,1180168600.0,8.0,506.0
506,218.0,11415.0,184.0,64.0,1606975700.0,1180168600.0,8.0,506.0
507,66.0,12825.0,32.0,64.0,1180168600.0,1606975900.0,8.0,1422.0
508,117.0,12826.0,83.0,64.0,1180168600.0,1606975900.0,8.0,1422.0
509,425.0,12827.0,391.0,64.0,1180168700.0,1606975900.0,8.0,1422.0
510,66.0,11416.0,32.0,64.0,1606975900.0,1180169000.0,8.0,503.0
511,329.0,11417.0,295.0,64.0,1606975900.0,1180169000.0,8.0,503.0
512,66.0,12828.0,32.0,64.0,1180169000.0,1606976100.0,8.0,1357.0
513,435.0,12829.0,401.0,64.0,1180169000.0,1606976100.0,8.0,1357.0
514,66.0,11418.0,32.0,64.0,1606976100.0,1180169300.0,8.0,501.0
515,329.0,11419.0,295.0,64.0,1606976100.0,1180169300.0,8.0,501.0
516,66.0,12830.0,32.0,64.0,1180169300.0,1606976400.0,8.0,1292.0
517,97.0,12831.0,63.0,64.0,1180169300.0,1606976400.0,8.0,1292.0
518,66.0,12832.0,32.0,64.0,1180169500.0,1606976400.0,8.0,1292.0
519,66.0,11420.0,32.0,64.0,1606976400.0,1180169500.0,8.0,501.0
520,66.0,11421.0,32.0,64.0,1606976400.0,1180169500.0,8.0,501.0
521,66.0,12833.0,32.0,64.0,1180169500.0,1606976400.0,8.0,1292.0
522,74.0,0.0,40.0,64.0,1672352500.0,1181736700.0,10.0,65160.0
523,74.0,0.0,40.0,64.0,1672352500.0,1181736700.0,10.0,65160.0
524,66.0,641.0,32.0,64.0,1181736700.0,1672352500.0,8.0,1460.0
525,583.0,642.0,549.0,64.0,1181736700.0,1672352500.0,8.0,1460.0
526,66.0,63928.0,32.0,64.0,1672352500.0,1181737200.0,8.0,506.0
527,218.0,63929.0,184.0,64.0,1672352500.0,1181737200.0,8.0,506.0
528,66.0,643.0,32.0,64.0,1181737200.0,1672352600.0,8.0,1422.0
529,117.0,644.0,83.0,64.0,1181737200.0,1672352600.0,8.0,1422.0
530,437.0,645.0,403.0,64.0,1181737300.0,1672352600.0,8.0,1422.0
531,66.0,63930.0,32.0,64.0,1672352600.0,1181737600.0,8.0,503.0
532,329.0,63931.0,295.0,64.0,1672352600.0,1181737600.0,8.0,503.0
533,66.0,646.0,32.0,64.0,1181737600.0,1672352900.0,8.0,1357.0
534,97.0,647.0,63.0,64.0,1181737600.0,1672352900.0,8.0,1357.0
535,66.0,648.0,32.0,64.0,1181737700.0,1672352900.0,8.0,1357.0
536,66.0,63932.0,32.0,64.0,1672352900.0,1181737700.0,8.0,503.0
537,66.0,63933.0,32.0,64.0,1672352900.0,1181737700.0,8.0,503.0
538,66.0,649.0,32.0,64.0,1181737700.0,1672352900.0,8.0,1357.0
539,66.0,0.0,32.0,64.0,1178883100.0,1149310800.0,8.0,5840.0
540,66.0,0.0,32.0,64.0,1178883100.0,1149310800.0,8.0,5840.0
541,54.0,25400.0,20.0,64.0,1149310800.0,1178883100.0,5.0,516.0
542,122.0,25401.0,88.0,64.0,1149310800.0,1178883100.0,5.0,516.0
543,60.0,36475.0,20.0,64.0,1178883100.0,1149310800.0,5.0,1460.0
544,60.0,36476.0,20.0,64.0,1178883100.0,1149310800.0,5.0,1460.0
545,74.0,0.0,40.0,64.0,1183561700.0,2205022700.0,10.0,5792.0
546,74.0,0.0,40.0,64.0,1183561700.0,2205022700.0,10.0,5792.0
547,66.0,32194.0,32.0,64.0,2205022700.0,1183561700.0,8.0,251.0
548,538.0,32195.0,504.0,64.0,2205022700.0,1183561700.0,8.0,251.0
549,66.0,27232.0,32.0,64.0,1183561700.0,2205023000.0,8.0,1716.0
550,66.0,27233.0,32.0,64.0,1183561700.0,2205023000.0,8.0,1716.0
551,66.0,0.0,32.0,64.0,1193388400.0,3447921000.0,8.0,5840.0
552,66.0,0.0,32.0,64.0,1193388400.0,3447921000.0,8.0,5840.0
553,54.0,39907.0,20.0,64.0,3447921000.0,1193388400.0,5.0,255.0
554,323.0,39908.0,289.0,64.0,3447921000.0,1193388400.0,5.0,255.0
555,60.0,29905.0,20.0,64.0,1193388400.0,3447921200.0,5.0,1728.0
556,60.0,29906.0,20.0,64.0,1193388400.0,3447921200.0,5.0,1728.0
557,66.0,0.0,32.0,64.0,1186610000.0,963638100.0,8.0,5840.0
558,66.0,0.0,32.0,64.0,1186610000.0,963638100.0,8.0,5840.0
559,54.0,31852.0,20.0,64.0,963638100.0,1186610000.0,5.0,1026.0
560,122.0,31853.0,88.0,64.0,963638100.0,1186610000.0,5.0,1026.0
561,60.0,58928.0,20.0,64.0,1186610000.0,963638140.0,5.0,1460.0
562,60.0,58929.0,20.0,64.0,1186610000.0,963638140.0,5.0,1460.0
563,66.0,0.0,32.0,64.0,1198358900.0,715412200.0,8.0,5840.0
564,66.0,0.0,32.0,64.0,1198358900.0,715412200.0,8.0,5840.0
565,54.0,57759.0,20.0,64.0,715412200.0,1198358900.0,5.0,255.0
566,122.0,57760.0,88.0,64.0,715412200.0,1198358900.0,5.0,255.0
567,60.0,23751.0,20.0,64.0,1198358900.0,715412300.0,5.0,1460.0
568,60.0,23752.0,20.0,64.0,1198358900.0,715412300.0,5.0,1460.0
569,66.0,0.0,32.0,64.0,1193887600.0,979157760.0,8.0,5840.0
570,66.0,0.0,32.0,64.0,1193887600.0,979157760.0,8.0,5840.0
571,54.0,9619.0,20.0,64.0,979157760.0,1193887600.0,5.0,1026.0
572,122.0,9620.0,88.0,64.0,979157760.0,1193887600.0,5.0,1026.0
573,60.0,39591.0,20.0,64.0,1193887600.0,979157800.0,5.0,1460.0
574,60.0,39592.0,20.0,64.0,1193887600.0,979157800.0,5.0,1460.0
575,74.0,0.0,40.0,64.0,1195786900.0,1454074600.0,10.0,5792.0
576,74.0,0.0,40.0,64.0,1195786900.0,1454074600.0,10.0,5792.0
577,66.0,18257.0,32.0,64.0,1454074600.0,1195786900.0,8.0,502.0
578,134.0,18258.0,100.0,64.0,1454074600.0,1195786900.0,8.0,502.0
579,66.0,40881.0,32.0,64.0,1195786900.0,1454074800.0,8.0,1448.0
580,66.0,40882.0,32.0,64.0,1195786900.0,1454074800.0,8.0,1448.0
581,66.0,0.0,32.0,64.0,1200670300.0,2953759700.0,8.0,5840.0
582,66.0,0.0,32.0,64.0,1200670300.0,2953759700.0,8.0,5840.0
583,54.0,7777.0,20.0,64.0,2953759700.0,1200670300.0,5.0,1026.0
584,548.0,7778.0,514.0,64.0,2953759700.0,1200670300.0,5.0,1026.0
585,60.0,7029.0,20.0,64.0,1200670300.0,2953760300.0,5.0,1728.0
586,60.0,7030.0,20.0,64.0,1200670300.0,2953760300.0,5.0,1728.0
587,66.0,0.0,32.0,64.0,1199699000.0,2988834600.0,8.0,5840.0
588,66.0,0.0,32.0,64.0,1199699000.0,2988834600.0,8.0,5840.0
589,54.0,49698.0,20.0,64.0,2988834600.0,1199699100.0,5.0,1025.0
590,504.0,49699.0,470.0,64.0,2988834600.0,1199699100.0,5.0,1025.0
591,60.0,10683.0,20.0,64.0,1199699100.0,2988835000.0,5.0,1728.0
