,len_original,ip_id,total_length,fragment_offset,ip_src,ip_dst,tcp_src,tcp_dst,tcp_seq_no,tcp_ack_no,tcp_data_off,tcp_window
133,482.0,27985.0,448.0,64.0,1600302784.0,3232236018.0,49225.0,51413.0,1751134109.0,367466893.0,8.0,7299.0
134,74.0,0.0,40.0,64.0,3232236018.0,1746725983.0,51413.0,23130.0,3990999630.0,2905475570.0,10.0,5792.0
135,66.0,0.0,32.0,64.0,3232236018.0,3238041086.0,51413.0,21387.0,3492277597.0,657957709.0,8.0,5840.0
136,66.0,25626.0,32.0,64.0,1441572414.0,3232235911.0,61836.0,3389.0,1046295351.0,0.0,8.0,8192.0
137,507.0,29535.0,473.0,64.0,3103937295.0,3232236018.0,443.0,35752.0,4078466283.0,4278192828.0,8.0,501.0
138,74.0,0.0,40.0,64.0,3103937295.0,3232236018.0,443.0,59788.0,841832721.0,823202069.0,10.0,65160.0
139,74.0,0.0,40.0,64.0,3232236018.0,1746724597.0,51413.0,14351.0,61175401.0,1555820520.0,10.0,5792.0
140,73.0,62272.0,39.0,64.0,3232235911.0,3337925018.0,3389.0,7605.0,530896434.0,931126644.0,5.0,63953.0
141,60.0,38757.0,20.0,64.0,3232235911.0,2949162685.0,3389.0,61558.0,1531392293.0,2192422169.0,5.0,62680.0
142,74.0,8020.0,40.0,64.0,3232236018.0,3078859091.0,53934.0,51413.0,1766746.0,0.0,10.0,5840.0
143,54.0,7619.0,20.0,64.0,3271810869.0,3232235911.0,62120.0,3389.0,3120955496.0,54932882.0,5.0,1026.0
144,66.0,57569.0,32.0,64.0,1593642854.0,3232236018.0,61598.0,51413.0,703978939.0,0.0,8.0,65535.0
145,504.0,53371.0,470.0,64.0,3103937295.0,3232236018.0,443.0,59736.0,147234241.0,2109267841.0,8.0,504.0
146,715.0,31317.0,681.0,64.0,3271810869.0,3232235911.0,50819.0,3389.0,1792765520.0,4235726192.0,5.0,1021.0
147,66.0,20767.0,32.0,64.0,1409392932.0,3232236018.0,49418.0,51413.0,381233644.0,0.0,8.0,64240.0
148,66.0,53591.0,32.0,64.0,3232236018.0,1746235393.0,53604.0,80.0,2964148460.0,2818067412.0,8.0,1306.0
149,66.0,48604.0,32.0,64.0,3104298606.0,3232235911.0,12908.0,3389.0,808761936.0,0.0,8.0,64240.0
150,66.0,15714.0,32.0,64.0,3232236018.0,3103937295.0,59758.0,443.0,3216334056.0,1471573847.0,8.0,1301.0
151,66.0,0.0,32.0,64.0,3232236018.0,2457357654.0,51413.0,51372.0,2717503702.0,2913561562.0,8.0,5840.0
152,74.0,60568.0,40.0,64.0,533899465.0,3232236018.0,33353.0,51413.0,246833595.0,0.0,10.0,64240.0
153,73.0,1019.0,39.0,64.0,3232235911.0,3113450594.0,3389.0,49977.0,2750055504.0,1699473306.0,5.0,63957.0
154,74.0,65018.0,40.0,64.0,1569331665.0,3232236018.0,32939.0,51413.0,207347857.0,0.0,10.0,64240.0
155,66.0,55763.0,32.0,64.0,3232235911.0,3109781367.0,3389.0,39682.0,58378833.0,1618601773.0,8.0,64000.0
156,66.0,37062.0,32.0,64.0,1315775500.0,3232236018.0,64183.0,51413.0,2728651689.0,0.0,8.0,64240.0
157,275.0,8773.0,241.0,64.0,3695779614.0,3232236018.0,56205.0,51413.0,598417100.0,3633635026.0,5.0,1026.0
158,544.0,61516.0,510.0,64.0,1868205338.0,3232236018.0,443.0,36482.0,3013892517.0,72562354.0,8.0,501.0
159,74.0,20857.0,40.0,64.0,3232236018.0,1578712066.0,36890.0,40433.0,3170447961.0,0.0,10.0,5840.0
160,66.0,47727.0,32.0,64.0,3232236018.0,3103937295.0,37144.0,443.0,471784106.0,720605154.0,8.0,1460.0
161,74.0,13158.0,40.0,64.0,84035619.0,3232236018.0,41381.0,51413.0,3040009178.0,0.0,10.0,64240.0
162,60.0,54142.0,20.0,64.0,3232236018.0,1315775500.0,51413.0,64183.0,1858698841.0,2728651759.0,5.0,1460.0
163,117.0,61190.0,83.0,64.0,3103937295.0,3232236018.0,443.0,59684.0,3211723528.0,1516805377.0,8.0,506.0
164,66.0,23429.0,32.0,64.0,3232235911.0,3113450741.0,3389.0,57494.0,2065585987.0,831461139.0,8.0,64000.0
165,347.0,52585.0,313.0,64.0,3232235911.0,1053665586.0,3389.0,63796.0,328099764.0,2781897975.0,5.0,63341.0
166,66.0,0.0,32.0,64.0,3232236018.0,801010496.0,51413.0,56229.0,3491446923.0,582520485.0,8.0,5840.0
167,66.0,48157.0,32.0,64.0,2995622881.0,3232236018.0,55013.0,51413.0,3540312324.0,4120630312.0,8.0,250.0
168,660.0,56501.0,626.0,64.0,2989569142.0,3232236018.0,58231.0,51413.0,1220206787.0,1221954274.0,5.0,1026.0
169,66.0,60402.0,32.0,64.0,1595416486.0,3232236018.0,58177.0,51413.0,1604733548.0,0.0,8.0,64240.0
170,113.0,49739.0,79.0,64.0,3232235911.0,3109781354.0,3389.0,59274.0,2251349497.0,19599136.0,5.0,63426.0
171,347.0,8731.0,313.0,64.0,3232235911.0,3104298606.0,3389.0,43075.0,1554577016.0,1824891564.0,5.0,63341.0
172,66.0,6175.0,32.0,64.0,1868205338.0,3232236018.0,443.0,51124.0,941702064.0,1023628245.0,8.0,501.0
173,66.0,0.0,32.0,64.0,3232236018.0,1489620511.0,51413.0,2999.0,1554220792.0,4194740677.0,8.0,5840.0
174,66.0,24568.0,32.0,64.0,781621079.0,3232236018.0,49310.0,51413.0,1092946025.0,0.0,8.0,64240.0
175,307.0,40010.0,273.0,64.0,3232236018.0,3103937295.0,34545.0,443.0,323321139.0,3240180785.0,8.0,1174.0
176,731.0,24874.0,697.0,64.0,1441572414.0,3232235911.0,62790.0,3389.0,2246379265.0,2452014152.0,5.0,251.0
177,54.0,8156.0,20.0,64.0,1566885561.0,3232236018.0,56103.0,51413.0,4018688934.0,481132553.0,5.0,1026.0
178,60.0,31593.0,20.0,64.0,3232236018.0,37655808.0,51413.0,57573.0,2154155575.0,643426406.0,5.0,1460.0
179,74.0,20722.0,40.0,64.0,3644888193.0,3232236018.0,32933.0,51413.0,3924342803.0,0.0,10.0,33120.0
180,54.0,27850.0,20.0,64.0,1437361280.0,3232236018.0,1962.0,51413.0,1629443820.0,2309845559.0,5.0,255.0
181,60.0,50617.0,20.0,64.0,3232236018.0,2959323852.0,51413.0,65505.0,631573417.0,2403160769.0,5.0,1996.0
182,122.0,58649.0,88.0,64.0,2959339803.0,3232236018.0,60836.0,51413.0,757101199.0,3781471400.0,5.0,516.0
183,66.0,0.0,32.0,64.0,3232236018.0,3572068794.0,51413.0,11845.0,3149961501.0,3523357089.0,8.0,5840.0
184,66.0,5348.0,32.0,64.0,3232236018.0,623712608.0,51413.0,60487.0,1060884186.0,649880017.0,8.0,1448.0
185,66.0,55423.0,32.0,64.0,3039503436.0,3232236018.0,9813.0,51413.0,125353045.0,0.0,8.0,64240.0
186,54.0,19221.0,20.0,64.0,757797844.0,3232236018.0,51845.0,51413.0,3671894012.0,2724059266.0,5.0,6145.0
187,259.0,19842.0,225.0,64.0,3104298609.0,3232235911.0,48711.0,3389.0,2145171650.0,1708865065.0,5.0,1026.0
188,54.0,53397.0,20.0,64.0,3563464104.0,3232236018.0,61497.0,51413.0,3722962617.0,1826203291.0,5.0,64768.0
189,66.0,62613.0,32.0,64.0,781609148.0,3232236018.0,57185.0,51413.0,1536043012.0,0.0,8.0,64240.0
190,54.0,27059.0,20.0,64.0,3113450594.0,3232235911.0,62181.0,3389.0,54684221.0,2229683738.0,5.0,8212.0
191,54.0,10672.0,20.0,64.0,3109902713.0,3232235911.0,40376.0,3389.0,1111613504.0,147511268.0,5.0,1026.0
192,66.0,37062.0,32.0,64.0,3232236018.0,1541685145.0,51413.0,55306.0,1875803653.0,2761008742.0,8.0,1448.0
193,74.0,18486.0,40.0,0.0,3224007859.0,3232236018.0,32661.0,51413.0,1240517905.0,0.0,10.0,65535.0
194,113.0,28194.0,79.0,64.0,3232235911.0,3271810869.0,3389.0,58647.0,1343574880.0,4207513275.0,5.0,63426.0
195,73.0,7103.0,39.0,64.0,3232235911.0,1842206123.0,3389.0,55865.0,4103606963.0,1182894169.0,5.0,63957.0
196,66.0,38189.0,32.0,64.0,3232235911.0,3113450748.0,3389.0,54548.0,1368264178.0,4210352362.0,8.0,64000.0
197,345.0,61549.0,311.0,64.0,3232235911.0,3337925018.0,3389.0,22349.0,310253443.0,1989475847.0,5.0,63297.0
198,54.0,19621.0,20.0,64.0,757797844.0,3232236018.0,51845.0,51413.0,3671895321.0,2725319175.0,5.0,6145.0
199,66.0,17045.0,32.0,64.0,3170088552.0,3232236018.0,38414.0,51413.0,454562090.0,0.0,8.0,64240.0
200,66.0,37871.0,32.0,64.0,3232235911.0,3113450748.0,3389.0,51290.0,1678958740.0,2791149679.0,8.0,64000.0
201,134.0,54381.0,100.0,64.0,3116919270.0,3232236018.0,51948.0,51413.0,3004888245.0,3547182319.0,8.0,502.0
202,66.0,3666.0,32.0,64.0,3232236018.0,3103937295.0,37141.0,443.0,380657927.0,1456214300.0,8.0,1174.0
203,66.0,11558.0,32.0,64.0,3223591817.0,3232236018.0,49933.0,51413.0,362593856.0,0.0,8.0,64240.0
204,54.0,21329.0,20.0,64.0,757797844.0,3232236018.0,51845.0,51413.0,3671900422.0,2730239168.0,5.0,6145.0
205,66.0,869.0,32.0,64.0,3232235911.0,3113450594.0,3389.0,50181.0,1981757612.0,2069625648.0,8.0,64000.0
206,66.0,24416.0,32.0,64.0,1599390665.0,3232236018.0,5917.0,51413.0,789891915.0,0.0,8.0,65535.0
207,74.0,0.0,40.0,64.0,3232236018.0,3583550021.0,51413.0,53907.0,3330901068.0,106169153.0,10.0,5792.0
208,66.0,3659.0,32.0,64.0,1868205338.0,3232236018.0,443.0,51425.0,102693234.0,2836261431.0,8.0,501.0
209,54.0,20952.0,20.0,64.0,757797844.0,3232236018.0,51845.0,51413.0,3671899283.0,2729106882.0,5.0,6145.0
210,504.0,48196.0,470.0,64.0,3103937295.0,3232236018.0,443.0,34450.0,1679096206.0,2708549555.0,8.0,503.0
211,66.0,10528.0,32.0,64.0,1595564951.0,3232236018.0,54994.0,51413.0,1048003714.0,0.0,8.0,64240.0
212,66.0,46336.0,32.0,64.0,3232236018.0,2997846923.0,40910.0,443.0,3305745011.0,4013210249.0,8.0,1356.0
